targetasin,targetvendorcode,classification_code
B00BB5362M,P17MK,392640000019
B091N2HYMM,VOT35,630790980019
B091N2HYMM,D186F,630790980019
B0D9WYMQPZ,VOT35,392690979018
B0D9WYMQPZ,G58AB,392690979018
B091XQW2H2,VOT35,630392900012
B01N13N7H0,VOT35,920994000000
B08YCCBHH2,VOT35,820750300000
B08N45M87L,VOT35,560750110000
B08N45M87L,JH7XW,560750110000
B0C798194X,VOT35,950699900000
B08X258DMG,VOT35,950730000000
B009AX2CKO,VOT35,841990859012
B07842N2ZP,VOT35,392490000013
B09BYJF7DF,VOT35,940599000000
B077819PL6,AV74I,950699900000
B077819PL6,VOT35,950699900000
B09NX2C5LW,Q07XO,901910900019
B0BDSYM5VK,VOT35,950699900000
B001U3ZY4I,VOT35,900220000000
B00152TXAK,VOT35,392690979018
B093T8PLYY,VOT35,392640000019
B000007N82,YN8BW,852349200000
B004AM1MCY,VOT35,848180190009
B002YLPOLS,VOT35,761010000019
B002YLPOLS,FN7UL,761010000019
B07BB56HCR,SL9PB,741220000011
B07BB56HCR,VOT35,741220000011
B0BYKD5QRP,VOT35,491199009000
B0BYKD5QRP,WX7IB,491199009000
B07LH7NJ74,VOT35,630392900012
B0D7ZW9HDT,VOT35,871680009018
B0D7ZW9HDT,49D9I,871680009018
B07V42PFMQ,VOT35,940591909018
B0CHK2Q3RM,KQ7H2,950300210000
B00006BNFE,ADPXP,852349200000
B079KD1LYP,VOT35,630392900012
B00K52N8OI,EG84X,830140110000
B00K52N8OI,VOT35,830140110000
B08S481BTS,VOT35,630391000030
B0000VUNBA,VOT35,630790980019
B071RBSMT4,VOT35,630790980019
B019W0OH48,VOT35,392490000019
B0019EY30Y,VOT35,392690979018
B003N2VNKI,9D7CA,830241100019
B003N2VNKI,VOT35,830241100019
B01N2HRBWU,XV7Q1,848180110000
B000NQDC1A,VOT35,852349200000
B00E4BH5DG,49BZQ,392490000019
B00E4BH5DG,VOT35,392490000019
B0842T9GLP,VOT35,630790980019
B0842T9GLP,IJ7U7,630790980019
B07SR5NGP7,VOT35,630790100019
B06XTFSFNB,VOT35,630130900000
B07Y5VT26N,VOT35,630253900000
B0CT8NBQF7,VOT35,950300210000
B0000WWQ9Q,VOT35,852349200000
B08KGXQY6X,VOT35,630392900012
B07XYLSB6G,VOT35,830241100019
B07TKJ9LM2,VOT35,391890000000
B08ZQZPFJ2,VOT35,392640000019
B01FIJEN1Y,VOT35,441490000000
B07X95XJ6F,VOT35,950699900000
B017807DT0,VOT35,940399100000
B0885CBXTD,VOT35,830629000000
B07MSQ5ND6,VOT35,830250000000
B07MSQ5ND6,2A7IR,830250000000
B0CBHMYMN9,VOT35,851810000000
B0CST8MV68,VOT35,950510900000
B00519BYL4,VOT35,848180190009
B001AEG068,VOT35,848180110000
B004HGS3VQ,VOT35,950790000000
B079X4TKF2,VOT35,920994000000
B09CZJ71JH,VOT35,480262000000
B07VXYKMN2,VOT35,940440900000
B015RA2SJS,VOT35,950730000000
B000KIA3XG,VOT35,950490800000
B07S643MD5,VOT35,920890000000
B000ODQLTC,VOT35,630640000000
B07DV5J3F4,VOT35,640419900000
B0716BWDWW,VOT35,950699900000
B0716BWDWW,AV74I,950699900000
B0031450XY,VOT35,960840001000
B0031450XY,5O7EG,960840001000
B072R8GG8P,VOT35,630221000019
B008Y382XC,VOT35,580632100011
B008Y382XC,ZF80C,580632100011
B0D617NLW5,VOT35,950699900000
B097HV2ZH2,Y07I2,630221000019
B097HV2ZH2,VOT35,630221000019
B00JEMBEIM,VOT35,830250000000
B07J3GTXY9,VOT35,482010300000
B07J33SHF6,VOT35,482010300000
B008E4869Q,VOT35,391890000000
B07S28X2NV,VOT35,950662000000
B003NCVFC4,VOT35,680430000019
B000OZ981I,VOT35,920994000000
0008207771,VOT35,490199000019
B00LDYOOV8,VOT35,950790000000
B08B77BQWL,VOT35,920994000000
B00125RS9I,VOT35,481141909000
B00125RS9I,6N7I1,481141909000
B005Q4900Q,VOT35,842121000000
B09QBZ28VX,VOT35,830250000000
B0063CP6PS,VOT35,820330000000
B000XQQ2AS,VOT35,950510900000
0063278677,LM83Z,490199000019
B001B7X6PM,VOT35,920992000000
B00P19MUMG,VOT35,441490000000
B000UGYYTW,VOT35,920999200000
B01AJJKM7W,VOT35,920999700000
B0029ZAO46,VOT35,920999700000
B07JPJXH5D,VOT35,820750300000
B09TB72GL2,VOT35,442090990000
B08ZDN33RV,VOT35,950651000000
B08GCQVDQ7,VOT35,950710000000
B089HD8R56,VOT35,950730000000
B00004RB59,VOT35,630612000000
B00JG3F3IG,VOT35,842139259000
B077NXLRCJ,WK7EZ,630493000019
B077NXLRCJ,VOT35,630493000019
B00022EWZA,YT7LU,392490000019
B00022EWZA,VOT35,392490000019
B07L68SZK9,VOT35,392690979018
B009A5FFME,VOT35,731812900000
B07BNYQ8PS,Q1813,940421900000
B07BNYQ8PS,VOT35,940421900000
0008517789,VOT35,490199000019
B006DXPAU8,ZK7XL,848180190009
B006DXPAU8,VOT35,848180190009
B0C3GNNTYY,VOT35,842139259000
B0C3GNNTYY,8P7DN,842139259000
B002BFI2C0,0I7F2,950669900000
B002BFI2C0,VOT35,950669900000
B0753578PT,VOT35,940440900000
B07BFMJMV2,VOT35,848180110000
B001PP1VGQ,VOT35,848180110000
B001PP1VGQ,ZK7XL,848180110000
B000V5KBRG,VOT35,820540000000
B08FNDYMW2,VOT35,630790980019
B083ZMJ8DK,VOT35,910211000000
B003VWHJH6,VOT35,520420000011
B095XN3BRK,VOT35,630392900012
B094T5BWVR,VOT35,852349200000
B0007VF1QK,VOT35,852349200000
B07Q69LY6F,24ALS,630392900012
B08R7BDQYP,YN8BW,852349200000
B000002KHY,VOT35,852349200000
B004S801Z4,VOT35,852349200000
B07BHWT1QX,VOT35,901910900019
B07BHWT1QX,QJ8CG,901910900019
B00BQWP0SS,VOT35,491199009000
B0CZBXJ2G3,HG7OC,842139259000
B0CZBXJ2G3,VOT35,842139259000
B09CB6NV7D,VOT35,732490000019
B0CDQXJV4G,HD7R9,950300210000
B0CDQXJV4G,VOT35,950300210000
B00JJ63MDS,VOT35,392690979018
B0C9WBQ276,BN7KO,630392900012
B00K52RM7W,VOT35,830241100019
B00DS5H1NI,VOT35,830241100019
B00DS5H1NI,49BZQ,830241100019
B07W7FPN96,VOT35,630312000000
B00ZRZDBAY,VOT35,630312000000
B00ZRZDBAY,CJAUP,630312000000
B082XMG5B9,24ALS,630312000000
B082XMG5B9,VOT35,630312000000
B085PKY8BW,VOT35,660110000000
B0797JWQ1R,VOT35,820750900000
B08BG99MVB,VOT35,950790000000
B08BG99MVB,2S7IV,950790000000
B074812C9W,29A0N,830241100019
B074812C9W,VOT35,830241100019
B07TP6FQ7S,VOT35,630312000000
B07TP6FQ7S,XQ7OH,630312000000
B07MXF6D1N,VOT35,940490900000
B00OUQ07T4,WX7R6,392640000019
B00OUQ07T4,VOT35,392640000019
B076LW36H7,VOT35,830140110000
B0BF76JDCC,VOT35,820540000000
B0033UUGYO,VOT35,392610000000
B0974JZYTX,YN8BW,852349200000
B0BDGMN9HS,VOT35,830250000000
B0078SSGL2,BQ7GA,392640000019
B0078SSGL2,VOT35,392640000019
B005DQ3AX0,VOT35,852380900000
B005DQ3AX0,2Y89Y,852380900000
B09868L6WH,VOT35,852349200000
B0018TLRUE,VOT35,852349200000
B0BS1THVBK,7B7Y0,950300490000
B08X1GMSJJ,VOT35,950730000000
B0000TZX1M,VOT35,820750900000
B09K3XKH8P,VOT35,950691900000
B09K3XKH8P,3U7CU,950691900000
B0002E1J5E,VOT35,920930000000
B000CC91GK,VOT35,960390919019
B000BY4PVU,VOT35,630800000019
B09MR6CJT5,VOT35,630140100000
B093NTFVVK,VOT35,401150000000
B07PWNBC19,VOT35,630790980019
B07M5VQ1RJ,6T7E3,732429000000
B07M5VQ1RJ,VOT35,732429000000
B09986PGX8,VOT35,392590100000
B001HWFKY6,VOT35,820330000000
B06XK5G7FR,VOT35,940440900000
B002M9GL5U,VOT35,482030000000
B08KGR5M6C,VOT35,490900000000
B0BZWNJMCM,VOT35,950440000000
B08D5GGX85,VOT35,630253100000
B0B788S31Z,VOT35,630253100000
B0846436PF,VOT35,950590000000
B000OTJ8A0,VOT35,853690950000
B000OTJ8A0,L77WR,853690950000
B084RGKH6Q,VOT35,848180110000
B0741V4Z42,VOT35,830400000000
B00TUDHPEW,HG7OC,681519000000
B0030ZOAF8,VOT35,830140110000
B082PMT6FS,VOT35,630391000020
B01M34NJTU,VOT35,848180110000
B00623B0SK,VOT35,848180190009
B09M53F3BF,VOT35,392690979018
B07TD9KW4T,VOT35,442019000000
B00MXUJRNG,VOT35,920930000000
B07GJXPB61,VOT35,830250000000
B07GJXT272,VOT35,820551000000
B0B3HXDR6Y,VOT35,630790980019
B014KE5SYE,UC7OS,848180190009
B014KE5SYE,VOT35,848180190009
B0000BYD9A,VOT35,820320000011
B00FZVPWO8,VOT35,392690979018
B00838IUKI,VOT35,392290009019
B0018T6NUS,VOT35,920999700000
B075YG6ZRN,VOT35,871495000000
B09LJ3MJS5,XQ7OH,630391000020
B09LJ3MJS5,VOT35,630391000020
B09ST96H4L,OA7ES,392640000019
B09ST96H4L,VOT35,392640000019
B00GKQFY5E,VOT35,420500900011
B08YDL9M9L,VOT35,950440000000
B00JJ7Z7X0,ZK7XL,848180110000
B002S4DO5O,ADPXP,852349200000
B005R9KGU8,R77XX,848190000019
B000PB4G04,VOT35,392690979018
B0027ACP1I,VOT35,482010900019
B096G79RYK,VOT35,950730000000
B00LJY4886,VOT35,962000990000
B07P8G494Y,VOT35,630140100000
B0006NGGZO,VOT35,820570000000
B00BN1RFGW,VOT35,920999700000
B0046ZWX82,VOT35,920994000000
B0002NV5TA,VOT35,482090000000
B07XDYBVP2,VOT35,731812900000
B091B4G4D9,VOT35,950300490000
B003EAXT5G,VOT35,900211000000
B000EYWJAQ,VOT35,950790000000
B08Q8NZLZ1,Y07TA,842099000000
B000BOA84S,ZK7XL,842489700000
B000BOA84S,VOT35,842489700000
B003ZYZVS4,VOT35,420292989000
B0CNJMGFYD,VOT35,950300210000
B0000302VW,VOT35,820320000011
B003B01QY0,VOT35,920994000000
B07S3D9SHZ,VOT35,950662000000
B004FORBWW,VOT35,392690979018
B079RML727,VOT35,392030000000
B077Y79NXK,VOT35,830242000019
B00L1LLZKQ,VOT35,920994000000
B001BNF98I,VOT35,848180190009
B001BNF98I,ZK7XL,848180190009
B07BFLVSV7,VOT35,848180190009
B005QL92P2,VOT35,392690979018
B08KY9YS7S,Q07XO,392690979018
B0768X73FV,VOT35,848180110000
B0CV4XNZBM,VOT35,630222900000
B0BBGT7ZTJ,VOT35,630312000000
B0DLCX87D8,VOT35,848180190009
B01EZAE7LI,VOT35,950510900000
B003W1CRE6,VOT35,960340100000
B087JZRHXQ,VOT35,820570000000
B07Z659LTW,VOT35,820570000000
B007NOWN9W,VOT35,950720100000
B00I3E17RA,VOT35,850590290000
B07SWFHYMJ,VOT35,570242000000
B0C7BR5C5S,VOT35,950691900000
B09WMB9WLC,VOT35,940591909018
B08T8GD7WX,VOT35,960330100000
B0B69TTV5B,VOT35,920930000000
B084Q7623F,VOT35,392690979018
B089X5DZVJ,VOT35,761699909019
B093NT72CQ,61CBJ,848180190012
B093NT72CQ,VOT35,848180190012
B01NBYL0A8,VOT35,482010300000
0062888439,VOT35,490199000019
B005ODKJCM,VOT35,900211000000
B077Y68NF2,VOT35,830241100019
B08BW4NSZQ,VOT35,630710909000
B00R4W2NW0,VOT35,852349200000
B0898GNLBQ,VOT35,630392900012
B078FHJKNV,VOT35,852349200000
B0B94LZ59C,VOT35,630392900012
B0B2L9XZ13,VOT35,940599000000
B07N6Y2MN2,VOT35,630790980019
